id|user_id|level|lat|lng|timestamp
1|1|1|-8|110|2015-09-02 04:43:15
2|1|3|-6|107|2015-09-02 04:43:18
3|1|5|-4|128|2015-09-02 04:43:22
4|1|2|5|97|2015-09-02 04:43:28
5|1|4|-11|123|2015-09-02 04:43:35
6|1|6|-3|108|2015-09-02 04:43:41
7|2|5|-4|128|2015-09-02 05:04:07
8|2|4|-11|122.96310424804688|2015-09-02 05:04:29
9|2|1|-7.7708659172058105|110.37757873535156|2015-09-02 05:04:43
10|2|2|5.206347942352295|97.06816101074219|2015-09-02 05:04:59
11|2|3|-6.125577926635742|106.84418487548828|2015-09-02 05:05:03
12|2|6|-6.806444048123682|107.303466796875|2015-09-02 05:06:34
13|4|5|-3.693127069284234|128.18124532699585|2015-09-02 05:13:42
14|4|3|-6.12181204352125|106.84218049049377|2015-09-02 05:13:59
15|4|2|5.182948421501405|97.13918745517731|2015-09-02 05:14:22
16|4|1|-7.771365444532887|110.37746071815491|2015-09-02 05:14:37
17|4|4|-10.727737281002836|123.0473631620407|2015-09-02 05:14:55
18|4|6|-8.119053222994044|114.48577880859375|2015-09-02 05:15:14
19|5|5|-3.6900435757893164|128.18172812461853|2015-09-02 05:42:14
20|5|3|-6.119731846942673|106.82526111602783|2015-09-02 05:42:25
21|5|1|-7.7709402324165415|110.37753582000731|2015-09-02 05:42:30
22|5|2|5.222534989317425|97.03848123550415|2015-09-02 05:42:44
23|5|4|-10.727753092991483|123.04731488227843|2015-09-02 05:43:15
24|5|6|-8.249546418605748|117.9876708984375|2015-09-02 05:43:38
25|6|5|-3.67578433517896|128.1925129229785|2015-09-02 08:40:26
26|10|5|-3.6757501590075328|128.19280564785|2015-09-02 09:48:40
27|12|1|-7.771854437934279|110.38118362426758|2015-09-03 05:42:56
28|12|2|5.221562717520681|97.03768730163574|2015-09-03 05:43:18
29|12|3|-6.116574199739156|106.84800624847412|2015-09-03 05:43:26
30|12|4|-10.500639925300444|123.06953430175781|2015-09-03 05:43:37
31|12|5|-3.658362203185792|128.1991195678711|2015-09-03 05:43:48
32|12|6|-8.646195681181904|140.77880859374997|2015-09-03 05:44:00
